id	premise	hypothesis	label	explanation	split	type	idiom
2163	She had known the fru wanted her tested, but she hadn't believed they'd take such an extreme step as to contact her mom.	She had known the fru wanted her tested, but she hadn't believed they'd go so far as to contact her mom.	Entailment	To go so far as to do something means to do something extreme, and in this sentence, the fru taking the extreme step of contacting her mom.	train	Idiom	go so far as to
2164	My pizza didn't arrive on time last night - it was an hour late!	I was so hungry and the pizza didn't show up on time, making me so happy that I had to wait an hour for it.	Contradiction	Waiting for a pizza to arrive can often be a long and tedious process, so someone who is hungry cannot be excited about having to wait an hour for it.	train	Sarcasm	
2165	I can't believe I didn't fit into my old wedding dress.	I felt absolutely no regrets for not fitting into my old wedding dress from when I got married five years ago.	Contradiction	Wedding dresses are often very expensive and so not being able to fit into an old one means that the person has gained weight and is regretful about it.	train	Sarcasm	
2166	Becky got new shoes and they were the ones I wanted.	The fact that Becky got the same damn shoes that I wanted so badly makes me really happy for her.	Contradiction	It is normal to feel jealous when someone gets something that we want, so someone pretending to be happy for the other person and not feeling any jealousy is not believable.	train	Sarcasm	
2167	I held a newborn up a little bit, with them facing down at me, and they puked all over me.	The smell of baby vomit is one of the worst smells I have ever encountered	Entailment	Baby vomit is incredibly acidic and has a very strong smell that often lingers	train	CreativeParaphrase	
2168	Guskewau , the darkness,  exposed  her.	Guskewau , the darkness ,  wrapped  her.	Contradiction	Wrapped means that the darkness was surrounding her, while another sentence is saying that the darkness exposed her.	train	Metaphor	
2169	For his thoughts as paddles served him in the gutter.	For his thoughts as paddles  served  him ,	Contradiction	Paddles are typically used to propel a boat forward, while in the gutter would suggest that the man is stuck or stagnating.	train	Metaphor	
2170	The ex-slave was so close to getting her freedom, but she died before that.	The ex-slave tasted freedom shortly before she died.	Contradiction	To taste something means to experience it or enjoy it, while to die before getting something means to never experience it or enjoy it.	train	Metaphor	
2171	I thought it was ridiculously dumb-i mean, why not leave a failing situation after the first fricking divorce?	I thought it was ridiculously dumb-i mean, why not cut your losses after the first fricking divorce?	Entailment	To cut your losses means to leave a failing situation before it gets worse, which is what the speaker is suggesting.	train	Idiom	cut your losses
2172	I crashed my favorite classic car which I've had since I was 16.	Really happy that I totally wrecked my favorite classic car that I've had since I was 16	Contradiction	A classic car is often seen as a valuable possession and so wrecking it would not make someone happy but instead lead to regret.	train	Sarcasm	
2173	I never attract these weirdos.	I must have a gift for attracting these weirdos.	Contradiction	To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos.	train	Idiom	have a gift
2174	I went to the supermarket and as I was getting all of my stuff out of my cart they closed my line.	I was so delighted when the supermarket closed my line and I had to leave all my groceries behind.	Contradiction	Most people would be frustrated and angry if they were in the same situation as the supermarket closing their line leaves them with groceries they cannot take home.	train	Sarcasm	
